avatar_f9f2ca src,username_f9f2ca,timestamp_f9f2ca,separator_f9f2ca,markup_f8f345,markup_f8f345 (2),markup_f8f345 (3),markup_f8f345 (4),markup_f8f345 (5),markup_f8f345 (6),markup_f8f345 (7),edited_f9f2ca,latin24CompactTimeStamp_f9f2ca,separator_f9f2ca (2),markup_f8f345 (8),markup_f8f345 (9),markup_f8f345 (10),markup_f8f345 (11),markup_f8f345 (12),emoji src,avatarDecoration_f9f2ca src,reactionCount_ec6b19,emoji src (2),reactionCount_ec6b19 (2),emoji src (3),reactionCount_ec6b19 (3),emoji src (4),reactionCount_ec6b19 (4),mention,anchor_af404b href,anchor_af404b,anchor_af404b href (2),anchor_af404b (2),anchor_af404b href (3),anchor_af404b (3),embedDescription_b0068a,embedDescription_b0068a (2),embedDescription_b0068a (3),embedDescription_b0068a (4),embedDescription_b0068a (5),embedDescription_b0068a (6),embedDescription_b0068a (7),embedDescription_b0068a (8),embedFieldName_b0068a,embedFieldValue_b0068a,embedFieldValue_b0068a (2),embedFieldValue_b0068a (3),embedFieldValue_b0068a (4),video_f72aac src,originalLink_d4597d href,loadingOverlay_d4597d src,anchor_af404b (4),embedVideoImageComponentInner_b0068a src,anchor_af404b href (5),anchor_af404b (5),embedFieldName_b0068a (2),embedFooterIcon_b0068a src,embedFooterText_b0068a,markup_f8f345 (13),embedDescription_b0068a (9),embedDescription_b0068a (10),embedFieldValue_b0068a (5),markup_f8f345 (14),markup_f8f345 (15),markup_f8f345 (16),markup_f8f345 (17),markup_f8f345 (18),markup_f8f345 (19),markup_f8f345 (20),markup_f8f345 (21),markup_f8f345 (22),markup_f8f345 (23),markup_f8f345 (24),markup_f8f345 (25),markup_f8f345 (26),embedAuthorIcon_b0068a src,embedDescription_b0068a (11),embedDescription_b0068a (12),lazyImg_cda674 src,embedProvider_b0068a,nowrap_aeef8c,name_bf515c,markup_f8f345 (27),markup_f8f345 (28),markup_f8f345 (29),markup_f8f345 (30),markup_f8f345 (31),markup_f8f345 (32),markup_f8f345 (33),markup_f8f345 (34),markup_f8f345 (35),markup_f8f345 (36),markup_f8f345 (37),markup_f8f345 (38),markup_f8f345 (39),markup_f8f345 (40),markup_f8f345 (41),markup_f8f345 (42),markup_f8f345 (43),markup_f8f345 (44),markup_f8f345 (45),markup_f8f345 (46),markup_f8f345 (47),markup_f8f345 (48),markup_f8f345 (49),markup_f8f345 (50),markup_f8f345 (51),markup_f8f345 (52),markup_f8f345 (53),markup_f8f345 (54),markup_f8f345 (55),markup_f8f345 (56),markup_f8f345 (57),markup_f8f345 (58),markup_f8f345 (59),markup_f8f345 (60),markup_f8f345 (61),markup_f8f345 (62),markup_f8f345 (63),markup_f8f345 (64),markup_f8f345 (65),markup_f8f345 (66),markup_f8f345 (67),markup_f8f345 (68),markup_f8f345 (69),markup_f8f345 (70),markup_f8f345 (71),markup_f8f345 (72),markup_f8f345 (73),markup_f8f345 (74),markup_f8f345 (75),markup_f8f345 (76),markup_f8f345 (77),markup_f8f345 (78),markup_f8f345 (79),markup_f8f345 (80),markup_f8f345 (81),markup_f8f345 (83),markup_f8f345 (84),markup_f8f345 (85),markup_f8f345 (86),markup_f8f345 (87),markup_f8f345 (88),markup_f8f345 (89),markup_f8f345 (90),markup_f8f345 (91),markup_f8f345 (92),markup_f8f345 (93),markup_f8f345 (94),markup_f8f345 (95),markup_f8f345 (96),markup_f8f345 (97),markup_f8f345 (98),markup_f8f345 (99),roleIcon_afae9f src,content_d76df7,username_de3235,emoji src (5),emoji src (6),emoji src (7),emoji src (8),emoji src (9),embedDescription_b0068a (13),embedDescription_b0068a (14),embedDescription_b0068a (15),botText_a9e77f,embedVideo_b0068a src,blockquoteContainer_f8f345,embedFieldName_b0068a (3),embedFieldValue_b0068a (6),obscuredTextContentInner_aa9639,embedProvider_b0068a (2),originalLink_d4597d href (2),anchor_af404b href (6),embedDescription_b0068a (16),embedDescription_b0068a (17),blockquoteContainer_f8f345 (2),blockquoteContainer_f8f345 (3),obscuredTextContentInner_aa9639 (2),embedGalleryImageElement_b0068a src,embedGalleryImageElement_b0068a src (2),originalLink_d4597d href (3),embedFooterSeparator_b0068a,replyAvatar_f9f2ca src,repliedTextContent_f9f2ca,repliedTextContent_f9f2ca (2),username_f9f2ca (2),repliedTextContent_f9f2ca (3),repliedTextContent_f9f2ca (4),repliedTextContent_f9f2ca (5),anchor_af404b href (8),anchor_af404b (7),anchor_af404b (8),anchor_af404b href (10),anchor_af404b (9),anchor_af404b href (14),anchor_af404b (6),embedDescription_b0068a (18),embedDescription_b0068a (19),embedDescription_b0068a (20),embedDescription_b0068a (21),embedDescription_b0068a (22),embedDescription_b0068a (23),embedDescription_b0068a (24),embedDescription_b0068a (25),embedDescription_b0068a (26),embedDescription_b0068a (27),mention (2),repliedTextContent_f9f2ca (6),repliedTextContent_f9f2ca (7),repliedTextContent_f9f2ca (8),repliedTextContent_f9f2ca (9),lazyImg_cda674 src (2),reactionCount_ec6b19 (5),reactionCount_ec6b19 (6),emoji src (10),emoji src (11),emoji src (12),reactionCount_ec6b19 (12),loadingOverlay_d4597d src (2)
https://cdn.discordapp.com/avatars/130552387654909952/4799d408b3f3ae5329440ed34e42ddf3.webp?size=160,JennLove,"— 
 12/21/17, 4:15 PM",—,,,,,,,,,,,,,,,,,,,,,,,,,,http://store.steampowered.com/app/541300/Survive_the_Nights/,http://store.steampowered.com/app/541300/Survive_the_Nights/,https://store.steampowered.com/,Steam,http://store.steampowered.com/app/541300/Survive_the_Nights/,Survive the Nights,This is a pre,-alpha unlisted version of Survive the Nights and is a work in progress,. Players will be participating in pre,-alpha testing prior to our public early access alpha release,. Game features and mechanics are limited and missing you will,.,.,.,Price,$,2,4,0.99,https://images-ext-1.discordapp.net/external/XIl7ZemAK5Z0t1ka9hW5VWZQnah7yY40jA8yAIW46m0/%3Ft%3D1496433859/https/steamcdn-a.akamaihd.net/steam/apps/256685942/movie_max.webm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cdn.discordapp.com/avatars/130552387654909952/4799d408b3f3ae5329440ed34e42ddf3.webp?size=160,JennLove,"— 
 6/8/18, 12:42 PM",—,,,,,,,,,,,,,,,,,,,,,,,,,,https://store.steampowered.com/app/823130/Totally_Accurate_Battlegrounds/,https://store.steampowered.com/app/823130/Totally_Accurate_Battlegrounds/,https://store.steampowered.com/,Steam,https://store.steampowered.com/app/823130/Totally_Accurate_Battlegrounds/,Totally Accurate Battlegrounds,Free forever if you get the game in the first 100 hours,!Totally Accurate Battlegrounds is a last,-weirdo,-standing battle royale game,!Totally Accurate Battlegrounds was originally made as an April Fools, parody of the Battle Royal genre and the game Totally Accurate Battle Simu,.,.,Recommendations,8144,,,,https://images-ext-1.discordapp.net/external/vm2mGIP2Bba_aZXZOgI-EWmNX4okftmm-VM1L9Pe5rQ/%3Ft%3D1528248130/https/steamcdn-a.akamaihd.net/steam/apps/256712883/movie_max.webm,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cdn.discordapp.com/avatars/130552387654909952/4799d408b3f3ae5329440ed34e42ddf3.webp?size=160,JennLove,"— 
 6/17/18, 11:31 PM",—,,,,,,,,,,,,,,,,,,,,,,,,,,https://store.steampowered.com/app/884660/Cuisine_Royale/,https://store.steampowered.com/app/884660/Cuisine_Royale/,https://store.steampowered.com/,Steam,https://store.steampowered.com/app/884660/Cuisine_Royale/,Cuisine Royale,Cuisine Royale is an all,-kitchen,-warfare Battle Royale game with the most honest system for Loot Boxes ever,. Originally an April Fool’s joke from developers of squad based MMO shooter Enlisted,", Cuisine Royale was highly appreciated by players and is now released as a stand",-,.,.,Recommendations,1425,,,,https://images-ext-1.discordapp.net/external/or5_V1quINXpH6Yk_kbG8QjQ-pH1aEGEbKZtmm5Kz6g/%3Ft%3D1529054255/https/steamcdn-a.akamaihd.net/steam/apps/256719921/movie_max.webm,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cdn.discordapp.com/avatars/407642526636572673/3e34a911a3dd60f944f28018e5522884.webp?size=160,PimpInTheBox,"— 
 6/26/18, 3:27 PM",—,Just found Bill Ding,s next game on steam sale,!,,,,,,,,,,,,,https://cdn.discordapp.com/emojis/415725285535645698.webp?size=80,,1,https://cdn.discordapp.com/emojis/363691493803687936.webp?size=80,1,,,,,@MiltonTPike1,https://store.steampowered.com/app/515180/Bus_Simulator_18/,https://store.steampowered.com/app/515180/Bus_Simulator_18/,https://store.steampowered.com/,Steam,https://store.steampowered.com/app/515180/Bus_Simulator_18/,Bus Simulator 18,Whether in the industrial or harbour zone,", downtown",", in the surrounding villages or the business park",", in Bus Simulator 18",", you experience up",-close the exciting everyday life of a bus driver in a vast and freely drivable urban area,. Get behind the wheel of your 8 original lic,.,Price,$,3,1,0.49,https://images-ext-1.discordapp.net/external/FrS1y63tFzFyTfpSDFwDjwiAmtACsUAFzhpF7P1bDY4/%3Ft%3D1528909229/https/steamcdn-a.akamaihd.net/steam/apps/256719715/movie_max.webm,,,,,,,Recommendations,,,,.,,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cdn.discordapp.com/avatars/130552387654909952/4799d408b3f3ae5329440ed34e42ddf3.webp?size=160,JennLove,"— 
 9/12/18, 10:02 AM",—,,,,,,,,,,,,,,,,,,,,,,,,,,https://store.steampowered.com/app/744900/Dead_Frontier_2/,https://store.steampowered.com/app/744900/Dead_Frontier_2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://discord.com/assets/999edf6459b7dacdcadf.png,Deleted User,"— 
 7/11/19, 1:19 AM",—,this game made my night in laughing,,,,,,,,,,,,,,,,,,,,,,,,,https://store.steampowered.com/app/784150/Workers__Resources_Soviet_Republic/,https://store.steampowered.com/app/784150/Workers__Resources_Soviet_Republic/,https://store.steampowered.com/,Steam,https://store.steampowered.com/app/784150/Workers__Resources_Soviet_Republic/,Workers,Manage all aspects of your own republic with planned economy,", including mining resources",", manufacturing goods",", construction",", investments",", and citizens too",.Create your own industrial complexes with loading and unloading stations,", storage",Price,$,1,8,0.74,https://images-ext-1.discordapp.net/external/wHdYtf8YHwaGxnyJZS9I_NDjHbjdf02f6scwkNv6DLI/%3Ft%3D1552341499/https/steamcdn-a.akamaihd.net/steam/apps/256745027/movie_max.webm,,,,,,& Resources,Recommendations,,,,", warehouses",,2202,,,,,,,,,,,,,,,", and factories",.Build the in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cdn.discordapp.com/avatars/412154947442966538/fe1def16b51af63ecb42af1a527d9f75.webp?size=160,abbll,"— 
 9/13/19, 4:12 PM",—,suggestion,: play this Kappa,,,,,,,,,,,,,,,,,,,,,,,,https://store.steampowered.com/app/1121910/I_Love_You_Colonel_Sanders_A_Finger_Lickin_Good_Dating_Simulator/,https://store.steampowered.com/app/1121910/I_Love_You_Colonel_Sanders_A_Finger_Lickin_Good_Dating_Simulator/,https://store.steampowered.com/,Steam,https://store.steampowered.com/app/1121910/I_Love_You_Colonel_Sanders_A_Finger_Lickin_Good_Dating_Simulator/,I Love You,From the same people who brought you the bucket of chicken,", comes the world’s first Colonel Sanders dating simulator",. I Love You,", Colonel Sanders",! A Finger Lickin’ Good Dating Simulator follows you,", a promising culinary student",", as you try to date your classmate",", Colonel",Release Date,Sep 24,", 2019",,,https://images-ext-1.discordapp.net/external/ApjAj_quyEuIN3igidGeCAr0xUT3ACJPJn1gKqLgs3I/%3Ft%3D1568087723/https/steamcdn-a.akamaihd.net/steam/apps/256759306/movie_max.webm,,,,,,", Colonel Sanders",,,,,.,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cdn.discordapp.com/avatars/231553285201461258/8b3f6c7bb35e0369cb8a1161a86ccb3b.webp?size=160,Nul1fy,"— 
 4/7/20, 6:43 AM",—,I would love to see Milton stream Black Mesa if he hasn,t done that already,. The game is fully released now and it is really fun,. Could be a good amount of laughs with the shit Milton gets in to,.,,,,,,,,,,,,,,,,,,,,,https://store.steampowered.com/app/362890/Black_Mesa/,https://store.steampowered.com/app/362890/Black_Mesa/,https://store.steampowered.com/,Steam,https://store.steampowered.com/app/362890/Black_Mesa/,Black Mesa,Black Mesa is the fan,-made re,-imagining of Valve Software’s Half,-Life,. You are Gordon Freeman,", a theoretical physicist at the Black Mesa Research Facility",. When a routine experiment goes horribly wrong,", you must fight your way through an interdimensional alien invasion",Price,$,1,9,0.99,https://images-ext-1.discordapp.net/external/budTTfZcV4fE0aeWPNr8WNho_cRGs6p2Pi6EChq0KL4/%3Ft%3D1583517821/https/steamcdn-a.akamaihd.net/steam/apps/256777178/movie_max.webm,,,,,,,Recommendations,,,,", and a",,32152,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,Metacritic,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cdn.discordapp.com/avatars/121638053361090563/cf01a742c4aeac74bd0d915c35d9d6fc.webp?size=160,Shadow Song(exerminator),"— 
 6/21/20, 3:49 PM",—,,,,,,,,,,,,,,,,,,,,,,,,,,https://store.steampowered.com/app/1071130/The_Procession_to_Calvary/,https://store.steampowered.com/app/1071130/The_Procession_to_Calvary/,https://store.steampowered.com/,Steam,https://store.steampowered.com/app/1071130/The_Procession_to_Calvary/,The Procession to Calvary,A time to love,", and a time to hate",; a time for war,", and a time for just one more murder",.,.,.,-Ecclesiastes,Price,$,9,0.99,165,https://images-ext-1.discordapp.net/external/KMHRIOh0dP6P9LhbBRxQ9jY9epc-YvYb8gJ84oAQKFQ/%3Ft%3D1585135486/https/steamcdn-a.akamaihd.net/steam/apps/256748950/movie_max.webm,,,,,,,Recommendations,,,,3,,80,,,,,,,,,,,,,,,:8AboutHuzzah,! The holy war is over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,! Your oppressors have been vanquished,", the churches of the Old God lay in ruin and thousands of innocent people have been murdered",! But,,,,Metacritic,,,,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://discord.com/assets/999edf6459b7dacdcadf.png,Deleted User,"— 
 9/5/20, 1:33 AM",—,,,,,,,,,,,,,,,,,,,,,,,,,,https://store.steampowered.com/app/1194630/The_Dark_Pictures_Anthology_Little_Hope,https://store.steampowered.com/app/1194630/The_Dark_Pictures_Anthology_Little_Hope,https://store.steampowered.com/,Steam,https://store.steampowered.com/app/1194630/The_Dark_Pictures_Anthology_Little_Hope,The Dark Pictures Anthology,The Dark Pictures Anthology is a series of intense,", standalone",", branching cinematic horror games featuring single and multiplayer modes",.,,,,,Price,$,2,9,0.99,https://images-ext-1.discordapp.net/external/8b-EqFMCT4-Irf0pYMmHe7YLU_47_S-Bqx6XrvnsnH4/%3Ft%3D1598274286/https/steamcdn-a.akamaihd.net/steam/apps/256796309/movie_max_vp9.webm,,,,,,: Little Hope,Release Date,,,,,,Oct 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
